state,white,black_or_african_american,american_indian_and_alaska_native,asian,native_hawaiian_and_other_pacific-islander,hispanic_or_latino_any_race,year
 Alabama,65.0,25.7,0.5,1.5,0.1,4.8,2022
 Alaska,59.6,3.0,13.0,6.3,2.0,7.7,2022
 Arizona,57.9,4.6,4.1,3.6,0.2,32.3,2022
 Arkansas,69.1,14.4,0.8,1.6,0.5,8.3,2022
 California,38.8,5.5,1.3,15.7,0.4,40.3,2022
 Colorado,70.3,4.1,1.2,3.2,0.1,22.5,2022
 Connecticut,65.0,10.5,0.3,4.8,0.0,18.2,2022
 Delaware,59.9,22.1,0.4,4.1,0.0,10.3,2022
 District of Columbia,38.4,42.1,0.5,4.2,0.1,11.7,2022
 Florida,55.7,15.1,0.4,2.9,0.0,27.3,2022
 Georgia,51.1,31.2,0.5,4.4,0.1,10.4,2022
 Hawaii,22.2,1.8,0.3,35.2,10.0,11.2,2022
 Idaho,81.9,0.6,1.2,1.4,0.2,13.5,2022
 Illinois,60.9,13.4,0.7,6.0,0.1,18.4,2022
 Indiana,77.5,9.4,0.4,2.5,0.0,7.8,2022
 Iowa,84.5,3.8,0.4,2.4,0.3,6.8,2022
 Kansas,76.3,5.2,0.9,2.9,0.2,13.0,2022
 Kentucky,83.0,7.7,0.2,1.4,0.1,4.2,2022
 Louisiana,57.4,31.4,0.6,1.8,0.0,5.7,2022
 Maine,90.9,1.6,0.5,1.2,0.0,2.1,2022
 Maryland,48.1,29.8,0.5,6.6,0.0,11.5,2022
 Massachusetts,68.6,7.1,0.3,7.2,0.0,13.1,2022
 Michigan,73.8,13.3,0.5,3.4,0.0,5.7,2022
 Minnesota,77.1,7.0,1.0,5.2,0.0,5.9,2022
 Mississippi,55.3,37.0,0.5,0.9,0.0,3.3,2022
 Missouri,77.4,10.9,0.3,2.2,0.1,4.7,2022
 Montana,85.1,0.3,5.4,0.7,0.2,4.4,2022
 Nebraska,78.4,4.7,1.0,2.5,0.1,12.3,2022
 Nevada,49.2,9.4,1.5,9.2,0.7,30.3,2022
 New Hampshire,87.6,1.4,0.1,2.7,0.0,4.6,2022
 New Jersey,53.9,12.8,0.5,10.1,0.0,22.0,2022
 New Mexico,46.3,2.1,9.2,1.8,0.1,50.2,2022
 New York,54.9,14.4,0.6,9.2,0.0,19.8,2022
 North Carolina,62.2,20.4,1.1,3.2,0.1,10.4,2022
 North Dakota,83.2,3.3,4.4,1.6,0.4,4.4,2022
 Ohio,77.0,12.1,0.2,2.5,0.0,4.4,2022
 Oklahoma,65.2,6.8,7.5,2.3,0.2,12.1,2022
 Oregon,74.5,2.0,1.2,4.6,0.4,14.4,2022
 Pennsylvania,74.4,10.5,0.3,3.8,0.0,8.6,2022
 Puerto Rico,26.3,5.8,0.2,0.2,0.0,99.0,2022
 Rhode Island,70.4,5.6,0.4,3.6,0.0,17.5,2022
 South Carolina,63.6,25.2,0.4,1.7,0.0,6.5,2022
 South Dakota,80.8,2.0,7.5,1.4,0.1,4.7,2022
 Tennessee,72.9,15.8,0.2,1.9,0.1,6.3,2022
 Texas,47.4,12.1,0.8,5.4,0.1,40.5,2022
 Utah,79.2,1.1,1.0,2.4,1.1,15.1,2022
 Vermont,90.9,1.0,0.2,1.8,0.0,2.3,2022
 Virginia,60.1,18.7,0.3,7.0,0.1,10.4,2022
 Washington,65.8,4.0,1.3,9.8,0.7,14.0,2022
 West Virginia,90.4,3.4,0.2,0.8,0.0,1.9,2022
 Wisconsin,80.3,6.0,0.8,2.9,0.0,7.6,2022
 Wyoming,84.6,0.7,1.9,0.7,0.1,10.8,2022
