state,white,black_or_african_american,american_indian_and_alaska_native,asian,native_hawaiian_and_other_pacific-islander,hispanic_or_latino_any_race,year
 Alabama,68.0,27.0,0.5,1.3,0.0,4.1,2016
 Alaska,64.4,3.2,14.6,6.1,1.3,6.9,2016
 Arizona,76.0,4.3,4.4,3.2,0.2,30.8,2016
 Arkansas,76.5,15.8,0.6,1.4,0.3,7.0,2016
 California,59.7,5.8,0.7,14.2,0.4,39.0,2016
 Colorado,84.1,4.2,1.0,3.1,0.2,21.3,2016
 Connecticut,76.7,10.6,0.3,4.5,0.0,15.7,2016
 Delaware,69.2,22.0,0.4,3.7,0.2,9.2,2016
 District of Columbia,40.7,47.1,0.3,3.9,0.0,10.9,2016
 Florida,75.6,16.1,0.3,2.7,0.0,24.7,2016
 Georgia,58.8,31.7,0.4,3.8,0.1,9.2,2016
 Hawaii,25.0,1.8,0.2,38.1,10.1,10.4,2016
 Idaho,89.7,0.7,1.6,1.5,0.1,12.3,2016
 Illinois,71.3,14.2,0.2,5.3,0.0,17.0,2016
 Indiana,83.5,9.3,0.3,2.1,0.1,6.8,2016
 Iowa,90.5,3.5,0.3,2.4,0.1,5.7,2016
 Kansas,84.7,5.7,0.8,2.7,0.1,11.6,2016
 Kentucky,87.2,8.2,0.3,1.4,0.1,3.4,2016
 Louisiana,62.0,32.4,0.5,1.7,0.0,4.9,2016
 Maine,94.4,1.5,0.6,1.3,0.0,1.6,2016
 Maryland,56.4,29.9,0.3,6.2,0.0,9.7,2016
 Massachusetts,78.7,7.4,0.2,6.4,0.0,11.4,2016
 Michigan,78.2,14.1,0.5,2.9,0.0,5.0,2016
 Minnesota,83.5,5.9,1.2,4.6,0.0,5.2,2016
 Mississippi,58.0,38.5,0.5,0.9,0.0,2.9,2016
 Missouri,82.0,11.8,0.5,1.9,0.1,4.0,2016
 Montana,89.0,0.4,6.4,0.8,0.1,3.6,2016
 Nebraska,88.0,4.6,0.8,2.2,0.1,10.6,2016
 Nevada,66.9,8.9,1.2,8.2,0.7,28.7,2016
 New Hampshire,93.5,1.2,0.1,2.5,0.0,3.5,2016
 New Jersey,68.3,13.3,0.2,9.5,0.0,19.8,2016
 New Mexico,74.0,2.0,9.4,1.5,0.1,48.5,2016
 New York,64.2,15.2,0.4,8.4,0.0,18.6,2016
 North Carolina,69.1,21.4,1.2,2.6,0.1,9.1,2016
 North Dakota,87.2,2.5,5.5,1.2,0.0,3.5,2016
 Ohio,81.6,12.4,0.1,2.0,0.0,3.6,2016
 Oklahoma,72.4,7.2,7.7,2.0,0.2,10.2,2016
 Oregon,84.5,1.9,1.1,4.1,0.4,12.7,2016
 Pennsylvania,81.0,10.9,0.2,3.3,0.0,7.0,2016
 Puerto Rico,66.8,11.6,0.2,0.2,0.0,98.7,2016
 Rhode Island,80.5,6.3,0.5,3.5,0.1,14.9,2016
 South Carolina,67.2,27.2,0.3,1.5,0.0,5.5,2016
 South Dakota,84.7,1.7,8.9,1.5,0.0,3.7,2016
 Tennessee,77.5,17.0,0.3,1.8,0.1,5.2,2016
 Texas,74.5,12.0,0.5,4.5,0.1,39.3,2016
 Utah,86.4,1.0,1.1,2.3,0.9,13.8,2016
 Vermont,94.4,1.3,0.3,1.5,0.0,2.0,2016
 Virginia,68.0,19.2,0.3,6.1,0.1,8.9,2016
 Washington,75.8,3.6,1.3,8.1,0.7,12.5,2016
 West Virginia,93.1,3.8,0.2,0.8,0.0,1.5,2016
 Wisconsin,85.5,6.3,0.9,2.7,0.0,6.7,2016
 Wyoming,92.0,1.0,2.3,1.0,0.1,9.6,2016
